나이,성별,스타일,일 평균 기온,일 평균 기상,일 평균 습도,일 평균 풍속,상의 카테고리,상의 색상,상의 기장,상의 소재,상의 프린트,하의 카테고리,하의 색상,하의 기장,하의 소재,하의 프린트,Cluster
20대,남성,스트리트,2.1,맑음,50.6,3.4,셔츠,핑크,발목,우븐,무지,청바지,핑크,발목,우븐,무지,10
20대,남성,스트리트,2.1,맑음,50.6,3.4,티셔츠,핑크,발목,우븐,무지,팬츠,핑크,발목,우븐,무지,10
20대,남성,스트리트,2.1,맑음,50.6,3.4,재킷,핑크,발목,우븐,무지,팬츠,핑크,발목,우븐,무지,10
20대,남성,스트리트,2.1,맑음,50.6,3.4,재킷,핑크,발목,우븐,무지,팬츠,핑크,발목,우븐,무지,10
20대,남성,스트리트,2.1,맑음,50.6,3.4,패딩,핑크,발목,우븐,무지,팬츠,핑크,발목,우븐,무지,10
20대,남성,스트리트,3.9,눈,62.4,3.0,재킷,블랙,발목,니트,무지,팬츠,그레이,발목,니트,무지,4
20대,남성,스트리트,3.9,눈,62.4,3.0,니트웨어,블랙,발목,니트,무지,팬츠,블랙,발목,니트,무지,4
30대,남성,스트리트,3.9,눈,62.4,3.0,짚업,블랙,발목,니트,무지,팬츠,블랙,발목,니트,무지,4
20대,남성,스트리트,3.9,눈,62.4,3.0,후드티,블랙,발목,니트,무지,청바지,블랙,발목,니트,무지,4
20대,남성,스트리트,3.9,눈,62.4,3.0,후드티,블랙,발목,니트,무지,팬츠,블랙,발목,니트,무지,4
20대,남성,스트리트,3.9,눈,62.4,3.0,후드티,블랙,발목,니트,무지,팬츠,블랙,발목,니트,무지,4
20대,남성,스트리트,7.9,비,67.1,4.3,후드티,블랙,노멀,우븐,무지,팬츠,블랙,발목,니트,무지,1
30대,남성,스트리트,6.2,맑음,58.8,2.8,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,5
20대,남성,스트리트,6.2,맑음,58.8,2.8,패딩,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,5
10대,남성,스트리트,6.2,맑음,58.8,2.8,재킷,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,5
20대,남성,스트리트,6.2,맑음,58.8,2.8,셔츠,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,5
20대,남성,스트리트,6.2,맑음,58.8,2.8,셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,5
20대,남성,스트리트,6.2,맑음,58.8,2.8,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,5
30대,남성,스트리트,6.2,맑음,58.8,2.8,점퍼,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,5
20대,남성,스트리트,6.2,맑음,58.8,2.8,점퍼,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,5
20대,남성,스트리트,8.0,맑음,45.1,2.9,재킷,블루,노멀,우븐,무지,청바지,블루,발목,우븐,무지,14
30대,남성,스트리트,8.0,맑음,45.1,2.9,패딩,블루,노멀,우븐,무지,팬츠,블루,노멀,우븐,무지,14
20대,남성,스트리트,8.0,맑음,45.1,2.9,가디건,블루,노멀,우븐,무지,청바지,블루,노멀,우븐,무지,14
20대,남성,스트리트,8.0,맑음,45.1,2.9,짚업,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,14
30대,남성,스트리트,8.0,맑음,45.1,2.9,재킷,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,14
20대,남성,스트리트,8.0,맑음,45.1,2.9,코트,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,14
20대,남성,스트리트,5.4,안개,45.5,1.6,짚업,블루,노멀,우븐,깅엄,팬츠,블루,노멀,우븐,깅엄,14
20대,남성,스트리트,4.8,안개,63.6,2.2,패딩,그린,하프,우븐,무지,팬츠,그린,하프,우븐,무지,4
20대,남성,스트리트,4.8,안개,63.6,2.2,짚업,그린,하프,우븐,무지,팬츠,그린,발목,우븐,무지,4
20대,남성,스트리트,4.8,안개,63.6,2.2,짚업,그린,발목,우븐,무지,팬츠,그린,발목,우븐,무지,4
20대,남성,스트리트,6.4,맑음,59.5,2.1,후드티,그레이,발목,저지,체크,팬츠,그레이,발목,우븐,체크,5
20대,남성,스트리트,6.4,맑음,59.5,2.1,후드티,카키,노멀,우븐,무지,팬츠,그레이,발목,저지,체크,5
20대,남성,스트리트,6.4,맑음,59.5,2.1,후드티,카키,노멀,우븐,무지,팬츠,카키,노멀,우븐,무지,5
20대,남성,스트리트,6.4,맑음,59.5,2.1,후드티,카키,노멀,우븐,무지,청바지,카키,노멀,우븐,무지,5
20대,남성,스트리트,6.4,맑음,59.5,2.1,티셔츠,카키,노멀,우븐,무지,팬츠,카키,노멀,우븐,무지,5
20대,남성,스트리트,6.4,맑음,59.5,2.1,티셔츠,카키,노멀,우븐,무지,팬츠,카키,노멀,우븐,무지,5
20대,남성,스트리트,6.4,맑음,59.5,2.1,티셔츠,카키,노멀,우븐,무지,청바지,카키,노멀,우븐,무지,5
